x,y,c
39.29241,-76.61408,2
39.28242,-76.59288,2
39.34805,-76.58834,3
39.36263,-76.55161,0
39.28938,-76.61971,2
39.37070,-76.56709,0
39.28624,-76.64455,1
39.29591,-76.56777,6
39.33177,-76.54873,0
39.30340,-76.63842,7
39.29662,-76.66508,8
39.30587,-76.67216,8
39.29883,-76.61042,2
39.28111,-76.57824,6
39.32120,-76.53906,0
39.28796,-76.63672,1
39.30364,-76.61172,2
39.28810,-76.64888,1
39.28660,-76.68681,8
39.31249,-76.64539,7
39.31249,-76.64539,7
39.23616,-76.61077,5
39.35908,-76.56120,0
39.30038,-76.58101,6
39.30128,-76.58385,6
39.35025,-76.59839,3
39.32000,-76.62224,7
39.34513,-76.54164,0
39.29765,-76.56099,6
39.27769,-76.68649,8
39.30684,-76.62412,7
39.29628,-76.56779,6
39.31331,-76.64263,7
39.30588,-76.63353,7
39.33310,-76.54578,0
39.36789,-76.64938,4
39.30479,-76.55919,6
39.30344,-76.63458,7
39.31819,-76.61706,2
39.33096,-76.69447,4
39.36039,-76.57142,0
39.28524,-76.64503,1
39.35952,-76.58856,3
39.36914,-76.58820,3
39.34309,-76.66716,4
39.35131,-76.56226,0
39.29489,-76.62127,2
39.29858,-76.62437,2
39.27905,-76.63523,1
39.31435,-76.61810,2
39.28668,-76.60980,2
39.28810,-76.64888,1
39.32178,-76.56278,0
39.28141,-76.57407,6
39.35909,-76.69467,4
39.30423,-76.62992,7
39.24570,-76.62276,5
39.31794,-76.61380,2
39.35860,-76.69386,4
39.29735,-76.57302,6
39.30294,-76.63386,7
39.31484,-76.56457,6
39.30548,-76.64362,7
39.32074,-76.56522,0
39.31599,-76.63616,7
39.32140,-76.56856,0
39.34415,-76.67980,4
39.34553,-76.56367,0
39.31545,-76.68735,8
39.33909,-76.60551,3
39.25430,-76.65160,1
39.34306,-76.59479,3
39.26109,-76.65869,1
39.30445,-76.63833,7
39.28634,-76.61946,2
39.30392,-76.54074,6
39.30392,-76.54074,6
39.22882,-76.59287,5
39.29536,-76.64012,1
39.28307,-76.58037,6
39.29910,-76.56033,6
39.27937,-76.65494,1
39.28556,-76.67107,8
39.30280,-76.61436,2
39.31039,-76.60236,2
39.29131,-76.61010,2
39.33616,-76.70622,4
39.36391,-76.54867,0
39.29434,-76.57097,6
39.29921,-76.60015,2
39.32407,-76.62346,7
39.35085,-76.66110,4
39.31110,-76.58436,6
39.32365,-76.62339,7
39.28962,-76.65299,1
39.33093,-76.67084,4
39.30385,-76.54095,6
39.28270,-76.64973,1
39.34336,-76.66242,4
39.30344,-76.63458,7
39.22812,-76.60005,5
39.30810,-76.63090,7
39.29732,-76.59757,2
39.30138,-76.61311,2
39.29164,-76.56050,6
39.28761,-76.53982,6
39.28492,-76.58522,6
39.32320,-76.61717,3
39.29112,-76.63072,1
39.29112,-76.63072,1
39.29320,-76.60817,2
39.30023,-76.57952,6
39.29112,-76.63072,1
39.29112,-76.63072,1
39.29112,-76.63072,1
39.28054,-76.58046,6
39.30977,-76.59132,2
39.30198,-76.63061,7
39.31497,-76.63843,7
39.32804,-76.60946,3
39.34208,-76.53219,0
39.30100,-76.58390,6
39.30362,-76.67372,8
39.33864,-76.66461,4
39.29199,-76.67547,8
39.27154,-76.59896,2
39.37067,-76.60984,3
39.28959,-76.61518,2
39.32081,-76.62574,7
39.29798,-76.63170,7
39.27724,-76.61063,2
39.28676,-76.56335,6
39.26879,-76.65109,1
39.33278,-76.60564,3
39.34712,-76.60966,3
39.22768,-76.59880,5
39.28675,-76.56315,6
39.28622,-76.62239,2
39.23178,-76.59235,5
39.28838,-76.64145,1
39.32442,-76.68735,4
39.30187,-76.60635,2
39.32374,-76.61580,3
39.29536,-76.64012,1
39.32886,-76.66202,4
39.32464,-76.58837,3
39.34500,-76.58860,3
39.32960,-76.65914,7
39.30063,-76.61589,2
39.29639,-76.64648,1
39.30675,-76.58838,2
39.35952,-76.58856,3
39.29439,-76.58332,6
39.28657,-76.61100,2
39.29099,-76.57023,6
39.35829,-76.60573,3
39.36086,-76.56692,0
39.34466,-76.67068,4
39.33438,-76.65979,4
39.25702,-76.62901,5
39.28476,-76.53219,6
39.31476,-76.60551,2
39.22918,-76.60020,5
39.31424,-76.61675,2
39.36290,-76.55037,0
39.29410,-76.70839,8
39.37138,-76.56697,0
39.23543,-76.61101,5
39.34131,-76.54711,0
39.29140,-76.56564,6
39.35870,-76.60638,3
39.32671,-76.57383,0
39.30533,-76.57418,6
39.30533,-76.57418,6
39.31889,-76.55159,0
39.28742,-76.56343,6
39.26243,-76.63330,1
39.33171,-76.53373,0
39.32829,-76.60813,3
39.29190,-76.57016,6
39.29190,-76.57016,6
39.30241,-76.61586,2
39.33096,-76.69447,4
39.32514,-76.62549,7
39.27991,-76.65285,1
39.36392,-76.58678,3
39.33459,-76.67418,4
39.30645,-76.64450,7
39.34457,-76.68300,4
39.29883,-76.61042,2
39.27408,-76.62769,1
39.29262,-76.59640,2
39.32029,-76.68187,4
39.36443,-76.58930,3
39.28776,-76.53576,6
39.35344,-76.56043,0
39.31099,-76.61689,2
39.22814,-76.59030,5
39.31235,-76.66678,8
39.27706,-76.65734,1
39.33193,-76.54038,0
39.30413,-76.58118,6
39.31338,-76.64842,7
39.30189,-76.66559,8
39.31729,-76.59814,2
39.30531,-76.59669,2
39.29743,-76.57799,6
39.23170,-76.60458,5
39.29911,-76.62350,2
39.29727,-76.60379,2
39.29759,-76.59080,2
39.37015,-76.58888,3
39.30400,-76.63527,7
39.28572,-76.58789,6
39.35858,-76.60061,3
39.30413,-76.58118,6
39.31235,-76.66528,8
39.29193,-76.63828,1
39.28135,-76.69788,8
39.31013,-76.58934,2
39.32224,-76.59907,3
39.34008,-76.53749,0
39.30313,-76.64485,7
39.33255,-76.65107,7
39.27253,-76.53116,6
39.27248,-76.60583,2
39.31531,-76.57555,6
39.34578,-76.58619,3
39.29651,-76.58696,6
39.29431,-76.57700,6
39.29630,-76.68397,8
39.29610,-76.57061,6
39.23232,-76.60241,5
39.32916,-76.55448,0
39.31813,-76.57773,6
39.29632,-76.62002,2
39.32232,-76.56870,0
39.35638,-76.70284,4
39.28184,-76.63000,1
39.28184,-76.63000,1
39.23025,-76.60038,5
39.31283,-76.66243,7
39.29271,-76.57483,6
39.29271,-76.57483,6
39.33339,-76.54726,0
39.33164,-76.66767,4
39.28838,-76.57012,6
39.28695,-76.60420,2
39.32875,-76.66535,4
39.28679,-76.60210,2
39.29452,-76.57874,6
39.29452,-76.57874,6
39.22904,-76.59744,5
39.27629,-76.61436,2
39.28196,-76.61476,2
39.34747,-76.67617,4
39.29848,-76.65500,1
39.29731,-76.62060,2
39.32513,-76.68821,4
39.29878,-76.58321,6
39.33013,-76.60829,3
39.30482,-76.58017,6
39.28101,-76.64652,1
39.29933,-76.58520,6
39.34906,-76.65981,4
39.34906,-76.65981,4
39.31246,-76.61803,2
39.29595,-76.57294,6
39.34707,-76.65817,4
39.34707,-76.65817,4
39.27710,-76.60701,2
39.32351,-76.60940,3
39.31072,-76.65310,7
39.27856,-76.62759,1
39.28756,-76.63838,1
39.34833,-76.67057,4
39.33219,-76.54486,0
39.35535,-76.57380,0
39.27719,-76.56732,6
39.29036,-76.56424,6
39.23824,-76.60069,5
39.29479,-76.57310,6
39.29856,-76.61720,2
39.29879,-76.64690,7
39.23815,-76.60977,5
39.25336,-76.62641,5
39.29039,-76.56484,6
39.29421,-76.61550,2
39.31169,-76.60494,2
39.32325,-76.62300,7
39.35776,-76.58215,3
39.29923,-76.58673,6
39.28623,-76.62092,2
39.33309,-76.64777,7
39.28250,-76.69301,8
39.34602,-76.61360,3
39.30677,-76.65490,7
39.31010,-76.62404,7
39.31461,-76.64648,7
39.32340,-76.68310,4
39.31023,-76.58299,6
39.29298,-76.62119,2
39.24661,-76.63584,5
39.31023,-76.58299,6
39.30966,-76.56330,6
39.30192,-76.66185,8
39.26157,-76.66657,1
39.31174,-76.60396,2
39.36725,-76.69475,4
39.24344,-76.62641,5
39.29764,-76.57213,6
39.31922,-76.68488,4
39.29376,-76.61360,2
39.29466,-76.67280,8
39.29773,-76.63107,7
39.31363,-76.62996,7
39.26724,-76.64445,1
39.23449,-76.60435,5
39.37086,-76.56494,0
39.31663,-76.63242,7
39.28719,-76.63945,1
39.36318,-76.57170,0
39.26845,-76.61182,2
39.22378,-76.58725,5
39.31645,-76.61687,2
39.28889,-76.64614,1
39.29044,-76.59127,2
39.32167,-76.57352,0
39.34078,-76.68468,4
39.29931,-76.58094,6
39.28670,-76.59147,2
39.28670,-76.59147,2
39.32049,-76.62010,7
39.25107,-76.64487,1
39.28347,-76.64206,1
39.29867,-76.58568,6
39.31095,-76.59765,2
39.28756,-76.63846,1
39.31177,-76.63527,7
39.28891,-76.56921,6
39.36780,-76.70917,4
39.29916,-76.57338,6
39.29237,-76.57322,6
39.35470,-76.70969,4
39.29253,-76.61012,2
39.29896,-76.64023,7
39.27515,-76.62403,1
39.29045,-76.62021,2
39.30344,-76.63458,7
39.30344,-76.63458,7
39.36935,-76.69242,4
39.28075,-76.65079,1
39.35362,-76.55900,0
39.30173,-76.59782,2
39.23696,-76.60848,5
39.23696,-76.60848,5
39.29406,-76.61823,2
39.27815,-76.68352,8
39.36839,-76.56678,0
39.28446,-76.59631,2
39.27254,-76.53030,6
39.28263,-76.57845,6
39.28994,-76.60209,2
39.28838,-76.64145,1
39.29501,-76.57721,6
39.31149,-76.60888,2
39.34045,-76.66710,4
39.31440,-76.64128,7
39.31426,-76.58974,2
39.27194,-76.59440,2
39.30590,-76.66734,8
39.29771,-76.62440,2
39.30150,-76.60354,2
39.29771,-76.62440,2
39.28673,-76.60844,2
39.33143,-76.60942,3
39.31504,-76.56331,6
39.32370,-76.68136,4
39.30025,-76.60007,2
39.34537,-76.59506,3
39.29731,-76.61612,2
39.30878,-76.62557,7
39.32746,-76.55429,0
39.34021,-76.59093,3
39.31344,-76.66784,8
39.36312,-76.56677,0
39.30418,-76.67209,8
39.28549,-76.58569,6
39.33382,-76.59307,3
39.35266,-76.60976,3
39.28663,-76.56601,6
39.27312,-76.53983,6
39.32076,-76.62362,7
39.32076,-76.62362,7
39.29366,-76.58335,6
39.31555,-76.63755,7
39.34698,-76.53951,0
39.27983,-76.66656,8
39.34349,-76.68319,4
39.30118,-76.63827,7
39.28779,-76.61215,2
39.24890,-76.62503,5
39.27987,-76.66656,8
39.29536,-76.64012,1
39.29414,-76.67440,8
39.31353,-76.61111,2
39.29768,-76.58786,2
39.28367,-76.60173,2
39.31089,-76.67560,8
39.34476,-76.68321,4
39.26961,-76.65221,1
39.31219,-76.63563,7
39.35867,-76.59090,3
39.31148,-76.58453,6
39.32207,-76.56944,0
39.36818,-76.56682,0
39.31264,-76.63269,7
39.34359,-76.55555,0
39.25745,-76.63173,1
39.28161,-76.68862,8
39.28316,-76.59351,2
39.30550,-76.64062,7
